user_id,username,email,password,categories_selected
011,admin,1234
013,user1,1234
014,user2,1234
001,john_doe,john.doe@example.com,password123,1
002,jane_smith,jane.smith@example.com,qwerty456,2
003,bob_johnson,bob.johnson@example.com,mysecurepass,1
004,emily_wilson,emily.wilson@example.com,password789,2
005,michael_brown,michael.brown@example.com,pass123pass,1
006,sarah_davis,sarah.davis@example.com,securepassword,2
007,david_miller,david.miller@example.com,password456,1
008,jessica_garcia,jessica.garcia@example.com,password987,2
009,robert_martinez,robert.martinez@example.com,pass123456,1
010,ashley_rodriguez,ashley.rodriguez@example.com,securepass123,2
